Experiment with single label classifier for classifying movie genre:
vectorizer	classifier	correct	incorrect	accuracy
KNN	272	328	0.4533333333333333
DecisionTree	264	336	0.44
RandomForest	338	262	0.5633333333333334
AdaBoost	301	299	0.5016666666666667
Ridge	272	328	0.4533333333333333
Bernoulli NB	265	335	0.44166666666666665
Logistic	247	353	0.4116666666666667


Experiment with multi label classifier (classifier can predict more than one genres):
vectorizer	classifier	correct	incorrect	accuracy
TF	KNN	457	143	0.7616666666666667
TF	RandomForest	503	97	0.8383333333333334
TF	Neural	565	35	0.9416666666666667
TF-IDF	KNN	527	73	0.8783333333333333
TF-IDF	RandomForest	502	98	0.8366666666666667
TF-IDF	Neural	553	47	0.9216666666666666
TF-IDF NoStopwords	KNN	522	78	0.87
TF-IDF NoStopwords	RandomForest	519	81	0.865
TF-IDF NoStopwords	Neural	553	47	0.9216666666666666
2-gram	KNN	449	151	0.7483333333333333
2-gram	RandomForest	458	142	0.7633333333333333
2-gram	Neural	510	90	0.85
3-gram	KNN	457	143	0.7616666666666667
3-gram	RandomForest	387	213	0.645

Experiment with multi label genre classifier using Image IR (movie poster):
classifier	correct	incorrect	accuracy
KNN	396	204	0.66
RandomForest	378	222	0.63
Neural	414	186	0.69


Experiment with sentiment analysis for movie reviews:
vectorizer	classifier	correct	incorrect	accuracy
TF	NearestCentroid	1603	530	0.7515236755743084
TF	KNN	1410	723	0.6610407876230661
TF	DecisionTree	1671	462	0.7834036568213784
TF	RandomForest	1887	246	0.8846694796061885
TF	Ridge	1962	171	0.919831223628692
TF	Bernoulli NB	1948	185	0.9132676980778247
TF	Logistic	1888	245	0.8851383028598219
TF-IDF	NearestCentroid	1857	276	0.870604781997187
TF-IDF	KNN	1553	580	0.7280825128926395
TF-IDF	DecisionTree	1665	468	0.7805907172995781
TF-IDF	RandomForest	1881	252	0.8818565400843882
TF-IDF	Ridge	1982	151	0.9292076887013596
TF-IDF	Bernoulli NB	1948	185	0.9132676980778247
TF-IDF	Logistic	1961	172	0.9193624003750586
TF-IDF NoStopwords	NearestCentroid	1878	255	0.8804500703234881
TF-IDF NoStopwords	KNN	1561	572	0.7318330989217066
TF-IDF NoStopwords	DecisionTree	1698	435	0.7960618846694796
TF-IDF NoStopwords	RandomForest	1901	232	0.8912330051570558
TF-IDF NoStopwords	Ridge	1972	161	0.9245194561650257
TF-IDF NoStopwords	Bernoulli NB	1946	187	0.9123300515705579
TF-IDF NoStopwords	Logistic	1955	178	0.9165494608532583
2-gram	NearestCentroid	1602	531	0.7510548523206751
2-gram	KNN	1412	721	0.6619784341303329
2-gram	DecisionTree	1548	585	0.7257383966244726
2-gram	RandomForest	1839	294	0.8621659634317862
2-gram	Ridge	1964	169	0.9207688701359588
2-gram	Bernoulli NB	1577	556	0.7393342709798406
2-gram	Logistic	1892	241	0.8870135958743554
3-gram	NearestCentroid	1685	448	0.7899671823722456
3-gram	KNN	1532	601	0.7182372245663385
3-gram	DecisionTree	1521	612	0.7130801687763713
3-gram	RandomForest	1726	407	0.8091889357712142
3-gram	Ridge	1821	312	0.8537271448663853
3-gram	Bernoulli NB	1269	864	0.5949367088607594
3-gram	Logistic	1690	443	0.7923112986404126
1,2-gram	NearestCentroid	1619	514	0.7590248476324426
1,2-gram	KNN	1376	757	0.6451007969995312
1,2-gram	DecisionTree	1650	483	0.7735583684950773
1,2-gram	RandomForest	1861	272	0.8724800750117205
1,2-gram	Ridge	1976	157	0.9263947491795593
1,2-gram	Bernoulli NB	1695	438	0.7946554149085795
1,2-gram	Logistic	1891	242	0.886544772620722
